index,isVul,category,filename
129,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_39_(0_True_13_通过_finally_块传递).js
130,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_3_(0_False_2_if语句).js
131,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_3_(1_False_2_if语句).js
132,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_40_(0_True_14_async_await).js
133,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_41_(0_True_15_竞态).js
134,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_42_(0_True_1_传递到字段上).js
135,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_43_(0_True_2_传递到函数).js
136,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_44_(0_True_3_if语句).js
137,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_45_(0_True_4_switch语句).js
138,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_46_(0_True_5_Map).js
139,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_47_(0_True_6_Map_遍历_key_value).js
140,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_48_(0_True_7_Map_遍历_key).js
141,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_49_(0_True_8_Array).js
142,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_4_(0_False_3_switch语句).js
143,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_4_(1_False_3_switch语句).js
144,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_50_(0_True_9_Array_遍历_index_for_of).js
145,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_5_(0_False_4_Map).js
146,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_5_(1_False_4_Map).js
147,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_6_(0_False_5_Array).js
148,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_6_(1_False_5_Array).js
149,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_7_(0_False_6_try_catch_在_try_块中传递污染数据).js
150,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_7_(1_False_6_try_catch_在_try_块中传递污染数据).js
151,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_8_(0_False_7_在_catch_中意外传递污染数据).js
152,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_8_(1_False_7_在_catch_中意外传递污染数据).js
153,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_9_(0_False_8_通过_finally_块传递).js
154,False,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcase_9_(1_False_8_通过_finally_块传递).js
155,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcode0.js
156,True,污染注入类,unit\污染注入类\SQL_注入\SQL_注入\testcode1.js
157,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_51_(0_False_10_竞态).js
158,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_52_(0_False_1_传递到函数).js
159,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_53_(0_False_2_if语句).js
160,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_54_(0_False_3_switch语句).js
161,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_55_(0_False_4_Map).js
162,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_56_(0_False_5_Array).js
163,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_57_(0_False_6_try_catch_在_try_块中传递污染数据).js
164,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_58_(0_False_7_在_catch_中意外传递污染数据).js
165,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_59_(0_False_8_通过_finally_块传递).js
166,False,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_60_(0_False_9_async_await).js
167,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_61_(0_True_10_Array_遍历_forEach_map_reduce).js
168,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_62_(0_True_11_try_catch_在_try_块中传递污染数据).js
169,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_63_(0_True_12_在_catch_中意外传递污染数据).js
170,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_64_(0_True_13_通过_finally_块传递).js
171,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_65_(0_True_14_async_await).js
172,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_66_(0_True_15_竞态).js
173,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_67_(0_True_1_传递到字段上).js
174,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_68_(0_True_2_传递到函数).js
175,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_69_(0_True_3_if语句).js
176,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_70_(0_True_4_switch语句).js
177,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_71_(0_True_5_Map).js
178,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_72_(0_True_6_Map_遍历_key_value).js
179,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_73_(0_True_7_Map_遍历_key).js
180,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_74_(0_True_8_Array).js
181,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcase_75_(0_True_9_Array_遍历_index_for_of).js
182,True,污染注入类,unit\污染注入类\XML_注入\XML_注入\testcode0.js
183,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_100_(0_True_9_Array_遍历_index_for_of).js
184,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_76_(0_False_10_竞态).js
185,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_77_(0_False_1_传递到函数).js
186,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_78_(0_False_2_if语句).js
187,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_79_(0_False_3_switch语句).js
188,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_80_(0_False_4_Map).js
189,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_81_(0_False_5_Array).js
190,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_82_(0_False_6_try_catch_在_try_块中传递污染数据).js
191,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_83_(0_False_7_在_catch_中意外传递污染数据).js
192,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_84_(0_False_8_通过_finally_块传递).js
193,False,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_85_(0_False_9_async_await).js
194,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_86_(0_True_10_Array_遍历_forEach_map_reduce).js
195,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_87_(0_True_11_try_catch_在_try_块中传递污染数据).js
196,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_88_(0_True_12_在_catch_中意外传递污染数据).js
197,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_89_(0_True_13_通过_finally_块传递).js
198,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_90_(0_True_14_async_await).js
199,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_91_(0_True_15_竞态).js
200,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_92_(0_True_1_传递到字段上).js
201,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_93_(0_True_2_传递到函数).js
202,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_94_(0_True_3_if语句).js
203,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_95_(0_True_4_switch语句).js
204,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_96_(0_True_5_Map).js
205,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_97_(0_True_6_Map_遍历_key_value).js
206,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_98_(0_True_7_Map_遍历_key).js
207,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcase_99_(0_True_8_Array).js
208,True,污染注入类,unit\污染注入类\YAML_反序列化\YAML_反序列化\testcode0.js
209,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_101_(0_False_10_竞态).js
210,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_102_(0_False_1_传递到函数).js
211,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_103_(0_False_2_if语句).js
212,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_104_(0_False_3_switch语句).js
213,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_105_(0_False_4_Map).js
214,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_106_(0_False_5_Array).js
215,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_107_(0_False_6_try_catch_在_try_块中传递污染数据).js
216,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_108_(0_False_7_在_catch_中意外传递污染数据).js
217,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_109_(0_False_8_通过_finally_块传递).js
218,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_10_(3_False_9_async_await).js
219,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_110_(0_False_9_async_await).js
220,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_111_(0_True_10_Array_遍历_forEach_map_reduce).js
221,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_112_(0_True_11_try_catch_在_try_块中传递污染数据).js
222,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_113_(0_True_12_在_catch_中意外传递污染数据).js
223,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_114_(0_True_13_通过_finally_块传递).js
224,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_115_(0_True_14_async_await).js
225,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_116_(0_True_15_竞态).js
226,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_117_(0_True_1_传递到字段上).js
227,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_118_(0_True_2_传递到函数).js
228,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_119_(0_True_3_if语句).js
229,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_11_(3_True_10_Array_遍历_forEach_map_reduce).js
230,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_120_(0_True_4_switch语句).js
231,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_121_(0_True_5_Map).js
232,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_122_(0_True_6_Map_遍历_key_value).js
233,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_123_(0_True_7_Map_遍历_key).js
234,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_124_(0_True_8_Array).js
235,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_125_(0_True_9_Array_遍历_index_for_of).js
236,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_126_(1_False_10_竞态).js
237,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_127_(1_False_1_传递到函数).js
238,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_128_(1_False_2_if语句).js
239,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_129_(1_False_3_switch语句).js
240,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_12_(3_True_11_try_catch_在_try_块中传递污染数据).js
241,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_130_(1_False_4_Map).js
242,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_131_(1_False_5_Array).js
243,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_132_(1_False_6_try_catch_在_try_块中传递污染数据).js
244,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_133_(1_False_7_在_catch_中意外传递污染数据).js
245,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_134_(1_False_8_通过_finally_块传递).js
246,False,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_135_(1_False_9_async_await).js
247,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_136_(1_True_10_Array_遍历_forEach_map_reduce).js
248,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_137_(1_True_11_try_catch_在_try_块中传递污染数据).js
249,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_138_(1_True_12_在_catch_中意外传递污染数据).js
250,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_139_(1_True_13_通过_finally_块传递).js
251,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_13_(3_True_12_在_catch_中意外传递污染数据).js
252,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_140_(1_True_14_async_await).js
253,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_141_(1_True_15_竞态).js
254,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_142_(1_True_1_传递到字段上).js
255,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_143_(1_True_2_传递到函数).js
256,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_144_(1_True_3_if语句).js
257,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_145_(1_True_4_switch语句).js
258,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_146_(1_True_5_Map).js
259,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_147_(1_True_6_Map_遍历_key_value).js
260,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_148_(1_True_7_Map_遍历_key).js
261,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_149_(1_True_8_Array).js
262,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_14_(3_True_13_通过_finally_块传递).js
263,True,污染注入类,unit\污染注入类\代码注入\动态代码执行\testcase_150_(1_True_9_Array_遍历_index_for_of).js
